company,companySlug,category,jobTitle,normalizedJobTitle,medianSalary,medianSalaryText,salaryPeriod,reportedSalaryCount,url,matchedInput
Walmart,Walmart,Pharmacy,Pharmacy Technician,pharmacy technician,18.71,$18.71,HOURLY,869,https://www.indeed.com/cmp/Walmart/salaries/Pharmacy-Technician,Walmart
Walmart,Walmart,Pharmacy,Certified Pharmacy Technician,certified pharmacy technician,20.28,$20.28,HOURLY,612,https://www.indeed.com/cmp/Walmart/salaries/Certified-Pharmacy-Technician,Walmart
Walmart,Walmart,Pharmacy,Pharmacist,pharmacist,49.16,$49.16,HOURLY,8,https://www.indeed.com/cmp/Walmart/salaries/Pharmacist,Walmart
Walmart,Walmart,Pharmacy,Staff Pharmacist,staff pharmacist,64.3,$64.30,HOURLY,18,https://www.indeed.com/cmp/Walmart/salaries/Staff-Pharmacist,Walmart
Walmart,Walmart,Pharmacy,Pharmacy Manager,pharmacy manager,49.06,$49.06,HOURLY,3,,Walmart
Walmart,Walmart,Pharmacy,Pharmacy Assistant,pharmacy assistant,16.12,$16.12,HOURLY,40,https://www.indeed.com/cmp/Walmart/salaries/Pharmacy-Assistant,Walmart
Walmart,Walmart,Pharmacy,Pharmacy Intern,pharmacy intern,23.75,$23.75,HOURLY,23,https://www.indeed.com/cmp/Walmart/salaries/Pharmacy-Intern,Walmart
Walmart,Walmart,Pharmacy,Pharmacist in Charge,pharmacist in charge,59.53,$59.53,HOURLY,8,https://www.indeed.com/cmp/Walmart/salaries/Pharmacist-in-Charge,Walmart
Walmart,Walmart,Pharmacy,Pharmacy Clerk,pharmacy clerk,17.79,$17.79,HOURLY,5,,Walmart
Walmart,Walmart,Pharmacy,Pharmacy Technician Intern,pharmacy technician intern,17.32,$17.32,HOURLY,1,,Walmart
Amazon.com,Amazon,Loading and Stocking,Warehouse Worker,warehouse worker,18.49,$18.49,HOURLY,68,https://www.indeed.com/cmp/Amazon.com/salaries/Warehouse-Worker,Amazon
Amazon.com,Amazon,Loading and Stocking,Warehouse Associate,warehouse associate,19.28,$19.28,HOURLY,196,https://www.indeed.com/cmp/Amazon.com/salaries/Warehouse-Associate,Amazon
Amazon.com,Amazon,Loading and Stocking,Fulfillment Associate,fulfillment associate,19.21,$19.21,HOURLY,173,https://www.indeed.com/cmp/Amazon.com/salaries/Fulfillment-Associate,Amazon
Amazon.com,Amazon,Loading and Stocking,Packer,packer,19.19,$19.19,HOURLY,5,,Amazon
Amazon.com,Amazon,Loading and Stocking,Order Picker,order picker,18.39,$18.39,HOURLY,14,https://www.indeed.com/cmp/Amazon.com/salaries/Order-Picker,Amazon
Amazon.com,Amazon,Loading and Stocking,Stower,stower,18.07,$18.07,HOURLY,25,https://www.indeed.com/cmp/Amazon.com/salaries/Stower,Amazon
Amazon.com,Amazon,Loading and Stocking,Package Handler,package handler,18.18,$18.18,HOURLY,9,https://www.indeed.com/cmp/Amazon.com/salaries/Package-Handler,Amazon
Amazon.com,Amazon,Loading and Stocking,Merchandise Flow Team Member,merchandise flow team member,25.15,$25.15,HOURLY,4,,Amazon
Amazon.com,Amazon,Loading and Stocking,Sorter,sorter,17.72,$17.72,HOURLY,6,https://www.indeed.com/cmp/Amazon.com/salaries/Sorter,Amazon
Amazon.com,Amazon,Loading and Stocking,Problem Solver,problem solver,17.1,$17.10,HOURLY,6,https://www.indeed.com/cmp/Amazon.com/salaries/Problem-Solver,Amazon
McDonald's,McDonald's,Instalación y mantenimiento,Maintenance Person,maintenance person,16.23,$16.23,HOURLY,353,https://www.indeed.com/cmp/McDonald's/salaries/Maintenance-Person,McDonald's
McDonald's,McDonald's,Instalación y mantenimiento,HVAC Technician,hvac technician,21.35,$21.35,HOURLY,1,,McDonald's
McDonald's,McDonald's,Instalación y mantenimiento,Maintenance Technician,maintenance technician,18.94,$18.94,HOURLY,18,https://www.indeed.com/cmp/McDonald's/salaries/Maintenance-Technician,McDonald's
McDonald's,McDonald's,Instalación y mantenimiento,Building Maintenance,building maintenance,20.2,$20.20,HOURLY,113,https://www.indeed.com/cmp/McDonald's/salaries/Building-Maintenance,McDonald's
McDonald's,McDonald's,Instalación y mantenimiento,Groundskeeper,groundskeeper,13.76,$13.76,HOURLY,19,https://www.indeed.com/cmp/McDonald's/salaries/Groundskeeper,McDonald's
