Analyst,2016 VRo,2016 VRo SD,2016 VRo N,2016 VRo UMSD,2016 BitRo,2016 BitRo SD,2016 BitRo N,2016 BitRo UMSD,2018 VRo,2018 VRo SD,2018 VRo N,2018 VRo UMSD,2018 BitRo,2018 BitRo SD,2018 BitRo N,2018 BitRo UMSD,2020 VRo,2020 VRo SD,2020 VRo N,2020 VRo UMSD,2020 BitRo,2020 BitRo SD,2020 BitRo N,2020 BitRo UMSD
1,0.4,0.09,9,0.754,0.12,0.02,53,1.379,0.37,0.05,9,0.852,0.09,0.03,23,2.38,0.7,0.09,30,0.088,0.1,0.05,10,1.497
2,0.49,0.09,80,0.181,0.13,0.03,100,1.184,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
3,0.35,0.07,31,1.201,0.2,0.04,59,0.178,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.41,0.03,17,0.543,0.15,0.04,20,1.118,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.57,0.04,20,0.99,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
5,0.4,0.05,21,0.707,0.16,0.02,21,0.6,0.53,0.06,21,0.634,0.19,0.05,24,0.09,0.67,0.03,8,0.446,0.58,0.07,19,1.354
6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.53,0.07,21,0.588,0.2,0.05,22,0.097,0.68,0.03,8,0.33,0.58,0.08,19,1.33
7,0.4,0.05,21,0.707,0.16,0.02,21,0.6,0.52,0.07,21,0.522,0.19,0.05,23,0.043,0.67,0.03,10,0.404,0.59,0.08,21,1.389
8,0.53,0.06,28,0.576,0.22,0.04,30,0.567,0.51,0.07,50,0.448,0.18,0.02,30,0.441,0.79,0.09,35,0.89,0.44,0.12,30,0.482
9,0.43,0.08,4,0.411,0.22,0.03,4,0.567,0.43,0.11,16,0.347,0.15,0.02,14,0.955,0.76,0.09,15,0.522,0.09,0.03,18,1.556
10,0.54,0.04,100,0.674,0.18,0.02,100,0.231,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
11,0.41,0.17,14,0.644,0.18,0.08,19,0.163,0.56,0.13,22,0.849,0.28,0.09,21,1.99,0.98,0.15,87,2.836,0.46,0.07,42,0.629
12,0.58,0.06,30,1.069,0.2,0.05,100,0.178,0.38,0.09,25,0.826,0.18,0.06,60,0.422,0.71,0.06,17,0.011,0.14,0.05,55,1.275
13,0.56,0.14,68,0.872,0.13,0.04,41,1.184,0.44,0.04,30,0.197,0.18,0.04,43,0.3,0.75,0.06,70,0.438,0.23,0.04,31,0.732
14,0.56,0.14,16,0.887,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
15,0.41,0.06,9,0.653,0.28,0.01,13,1.693,0.47,0.03,41,0.027,0.17,0.02,29,0.674,0.68,0.04,22,0.278,0.49,0.01,5,0.824
16,0.37,0.04,11,1.003,0.29,0.01,28,1.928,0.46,0.03,47,0.01,0.17,0.02,29,0.674,0.67,0.06,26,0.404,0.49,0.04,3,0.8
17,0.74,0.14,50,2.665,0.23,0.04,50,0.689,0.43,0.03,10,0.31,0.24,0.03,40,1.055,0.6,0.08,38,1.127,0.31,0.04,25,0.273
18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
19,0.55,0.06,28,0.773,0.25,0.08,28,1.15,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.75,0.06,56,0.406,0.19,0.28,25,0.997
20,0.55,0.07,13,0.785,0.25,0.04,11,1.063,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
21,0.34,0.07,30,1.299,0.17,0.03,30,0.406,0.43,0.07,35,0.319,0.25,0.06,45,1.312,0.68,0.08,50,0.299,0.43,0.06,41,0.447
22,0.36,0.06,70,1.151,0.23,0.03,113,0.703,0.46,0.05,70,0.01,0.19,0.05,44,0.043,0.7,0.08,77,0.141,0.18,0.02,43,1.038
23,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.58,0.05,22,1.055,0.18,0.04,43,0.3,0.81,0.06,77,1.016,0.36,0.05,18,0.052
24,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.23,0.06,10,2.151,0.22,0.05,32,0.634,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
25,0.39,n.d.,n.d.,n.d.,0.14,n.d.,n.d.,n.d.,0.23,0.06,10,2.151,0.22,0.05,32,0.634,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
26,0.49,0.07,7,0.181,0.11,0.03,100,1.573,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
27,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.42,0.07,40,0.45,0.19,0.05,51,0.043,0.76,0.08,51,0.553,0.46,0.06,50,0.629
28,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.54,0.08,55,1.824,0.2,0.04,72,0.914
29,0.54,0.09,100,0.674,0.17,0.05,100,0.406,0.7,0.1,200,2.223,0.25,0.08,200,1.336,0.58,0.07,100,1.33,0.41,0.07,100,0.346
